chapter_id,chunk_id,original_classification,review_status,best_score,score_margin,paragraph_start,paragraph_end,recommended_action,source_excerpt_role,candidate_preview
ch11,ch11_src_127,needs_manual_textbook_anchor,manual_anchor_required,0.145929,0.000278,5556,5557,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,决策支持不应局限于短期运行效果，还应结合数字孪生长期积累的数据，对决策方案在设施性能演化、路网运行效率、社会服务水平及资源投入等方面的综合影响进行评估。这体现了道路工程管理由传统“经验驱动”向“数据与机理混合驱动”的转变，是提升行业治理体系与治理能力现代化的重要技术支撑。 第三节 道路数字孪生典型应用场景
ch11,ch11_src_128,needs_manual_textbook_anchor,manual_anchor_required,0.174588,0.006932,5557,5557,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,第三节 道路数字孪生典型应用场景
ch11,ch11_src_130,summary_with_term_support,term_supported_summary_review,0.423672,0.025696,5572,5573,保留为教学摘要候选；人工确认术语锚点是否足以支撑该 Source_Chunk。,teaching_summary_with_term_support_not_verbatim,1.施工现场信息物理系统（CPS）构建 依托物联网与新一代通信技术，实现“人、机、料、法、环”关键要素的系统化感知，构建同步演化的“数字工地”。
ch11,ch11_src_134,needs_manual_textbook_anchor,manual_anchor_required,0.233217,0.030226,5575,5576,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,4D/5D 动态推演与进度纠偏：集成BIM、进度（4D）与成本（5D）维度 。通过无人机等实测数据进行虚实进度对比，快速定位偏差区域 ；基于关键路径法开展情景推演，为资源配置与方案调整提供定量参考 。 2.智能化施工与质量闭环控制
ch11,ch11_src_135,needs_manual_textbook_anchor,manual_anchor_required,0.336348,0.003951,5577,5578,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,将质量管理前移至“事中控制”，通过实时数据驱动施工行为，提升工程一致性。 路基路面智能压实与摊铺控制：集成高精度定位与无损检测传感器 。通过压实状态实时可视化引导针对性补压 ；利用红外热成像开展温度场与离析监控，预防早期病害，提升路面耐久性。
ch11,ch11_src_136,needs_manual_textbook_anchor,manual_anchor_required,0.16093,0.000245,5557,5558,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,第三节 道路数字孪生典型应用场景 在道路工程的全生命周期中，数字孪生技术通过构建“数字原型”与物理实体的动态映射，将传统孤立的工程环节转化为连续的价值链条。本节重点介绍数字孪生在设计、施工、养护与运营四个阶段的典型业务实践。
ch11,ch11_src_137,needs_manual_textbook_anchor,manual_anchor_required,0.167455,0.002544,5557,5558,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,第三节 道路数字孪生典型应用场景 在道路工程的全生命周期中，数字孪生技术通过构建“数字原型”与物理实体的动态映射，将传统孤立的工程环节转化为连续的价值链条。本节重点介绍数字孪生在设计、施工、养护与运营四个阶段的典型业务实践。
ch11,ch11_src_138,summary_with_term_support,term_supported_summary_review,0.323128,0.0198,5579,5579,保留为教学摘要候选；人工确认术语锚点是否足以支撑该 Source_Chunk。,teaching_summary_with_term_support_not_verbatim,预制构件数字孪生追溯管理：以 GUID 为核心实现全流程数据绑定，形成可追溯的构件数字档案 。在吊装前通过虚拟预拼装与安装校核识别空间偏差，提升一次安装成功率 。
ch11,ch11_src_139,needs_manual_textbook_anchor,manual_anchor_required,0.281628,0.059818,5579,5581,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,预制构件数字孪生追溯管理：以 GUID 为核心实现全流程数据绑定，形成可追溯的构件数字档案 。在吊装前通过虚拟预拼装与安装校核识别空间偏差，提升一次安装成功率 。 3.基于数字主线的数字化交付 推动从交付“工程成果”向交付“数字资产与服务能力”转型，实现“竣工即孪生” 。
ch11,ch11_src_140,needs_manual_textbook_anchor,manual_anchor_required,0.236164,0.003309,5557,5559,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,第三节 道路数字孪生典型应用场景 在道路工程的全生命周期中，数字孪生技术通过构建“数字原型”与物理实体的动态映射，将传统孤立的工程环节转化为连续的价值链条。本节重点介绍数字孪生在设计、施工、养护与运营四个阶段的典型业务实践。 一、数字化设计与多物理场仿真
ch11,ch11_src_142,needs_manual_textbook_anchor,manual_anchor_required,0.223217,0.001843,5583,5583,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,竣工即孪生动态台账：利用竣工实测数据修正模型，确保数字孪生底座在几何与属性层面与实体工程保持高度一致 。可结合区块链技术开展关键数据的可信存证，为运维阶段提供责任追溯保障
ch11,ch11_src_143,needs_manual_textbook_anchor,manual_anchor_required,0.246544,0.019888,5583,5583,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,竣工即孪生动态台账：利用竣工实测数据修正模型，确保数字孪生底座在几何与属性层面与实体工程保持高度一致 。可结合区块链技术开展关键数据的可信存证，为运维阶段提供责任追溯保障
ch11,ch11_src_144,needs_manual_textbook_anchor,manual_anchor_required,0.33879,0.023467,5584,5585,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,三、预测性养护与全生命周期资产管理 道路数字孪生通过物理—数据混合驱动模型，推动养护模式由“被动响应”向“主动预测”转型，科学支撑养护时机与方案决策，如图 11-10。
ch11,ch11_src_145,needs_manual_textbook_anchor,manual_anchor_required,0.277581,0.053339,5586,5587,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,1.多维感知驱动的结构健康监测 依托动态感知网络形成全寿命周期结构健康档案，捕捉微小结构变化 。
ch11,ch11_src_146,needs_manual_textbook_anchor,manual_anchor_required,0.254313,0.024869,5588,5588,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,力学与动力特性监测：利用光纤光栅传感器实时感知应力—应变状态，结合降阶模型推算整体受力 ；通过加速度计提取自振频率等参数识别“结构指纹”，对性能退化实现分级预警。
ch11,ch11_src_147,needs_manual_textbook_anchor,manual_anchor_required,0.205877,0.009029,5354,5355,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,（2）动力特性感知 利用加速度传感器可采集结构在车辆荷载、风荷载等动力作用下的振动响应。通过快速傅里叶变换及模态分析，识别结构的固有频率、阻尼比及振型等动力特性参数。上述参数应与结构性能模型和历史基准状态进行对比分析，用于评估结构刚度退化及病害发展对承载能力的影响。
ch11,ch11_src_148,needs_manual_textbook_anchor,manual_anchor_required,0.164247,0.000498,5589,5589,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,隐蔽工程与表观病害识别：通过探地雷达扫描路面内部介质，识别基层脱空等隐蔽病害 ；利用车载机器视觉系统与深度学习算法自动识别表观病害，并精确映射至LOD 3级模型。
ch11,ch11_src_149,summary_with_term_support,term_supported_summary_review,0.269509,0.010034,5589,5590,保留为教学摘要候选；人工确认术语锚点是否足以支撑该 Source_Chunk。,teaching_summary_with_term_support_not_verbatim,隐蔽工程与表观病害识别：通过探地雷达扫描路面内部介质，识别基层脱空等隐蔽病害 ；利用车载机器视觉系统与深度学习算法自动识别表观病害，并精确映射至LOD 3级模型。 2.物理—数据混合驱动的诊断与性能预测
ch11,ch11_src_150,needs_manual_textbook_anchor,manual_anchor_required,0.180744,0.000531,5592,5592,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,降阶模型与实测数据协同校准：通过实测数据反向修正物理模型参数，使虚拟模型逼近真实状态 ；利用时序变化特征进行损伤定位，辅助缩小排查范围 。
ch11,ch11_src_151,needs_manual_textbook_anchor,manual_anchor_required,0.229444,0.0252,5592,5592,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,降阶模型与实测数据协同校准：通过实测数据反向修正物理模型参数，使虚拟模型逼近真实状态 ；利用时序变化特征进行损伤定位，辅助缩小排查范围 。
ch11,ch11_src_152,needs_manual_textbook_anchor,manual_anchor_required,0.21569,0.002966,5555,5557,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,（2）全生命周期价值评估 决策支持不应局限于短期运行效果，还应结合数字孪生长期积累的数据，对决策方案在设施性能演化、路网运行效率、社会服务水平及资源投入等方面的综合影响进行评估。这体现了道路工程管理由传统“经验驱动”向“数据与机理混合驱动”的转变，是提升行业治理体系与治理能力现代化的重要技术支撑。 第三节 道路数字孪…
ch11,ch11_src_154,cross_paragraph_or_formula_fragment,boundary_fragment_review,0.411253,0.051755,5594,5595,疑似跨段、公式或列表边界片段；人工确认是否拆分、补公式上下文或仅保留为摘要。,boundary_fragment_needs_manual_confirmation,3.面向全生命周期的资产价值管理 将经济性与服务水平纳入分析框架，实现资产全生命周期管理升级。
ch11,ch11_src_155,needs_manual_textbook_anchor,manual_anchor_required,0.178638,0.000959,5557,5558,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,第三节 道路数字孪生典型应用场景 在道路工程的全生命周期中，数字孪生技术通过构建“数字原型”与物理实体的动态映射，将传统孤立的工程环节转化为连续的价值链条。本节重点介绍数字孪生在设计、施工、养护与运营四个阶段的典型业务实践。
ch11,ch11_src_156,needs_manual_textbook_anchor,manual_anchor_required,0.29673,0.010382,5596,5597,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,养护策略多目标优化决策：在数字孪生环境中开展全生命周期成本分析 ；通过比选路面性能提升幅度与性价比，辅助决策者确定最优养护时机，规避“过度养护”或“失养”风险 。 数字化台账与资产价值动态评估：依托GUID与数字主线形成可追溯的全历程履历管理（“电子病历”） ；系统根据健康状态动态评估资产折旧与剩余价值，支撑更新改造…
ch11,ch11_src_157,summary_with_term_support,term_supported_summary_review,0.20273,0.001398,5557,5558,保留为教学摘要候选；人工确认术语锚点是否足以支撑该 Source_Chunk。,teaching_summary_with_term_support_not_verbatim,第三节 道路数字孪生典型应用场景 在道路工程的全生命周期中，数字孪生技术通过构建“数字原型”与物理实体的动态映射，将传统孤立的工程环节转化为连续的价值链条。本节重点介绍数字孪生在设计、施工、养护与运营四个阶段的典型业务实践。
ch11,ch11_src_158,needs_manual_textbook_anchor,manual_anchor_required,0.26512,0.062451,5597,5599,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,数字化台账与资产价值动态评估：依托GUID与数字主线形成可追溯的全历程履历管理（“电子病历”） ；系统根据健康状态动态评估资产折旧与剩余价值，支撑更新改造及特许经营决策 。 预防性养护与全生命周期资产管理 四、智慧交通治理与韧性服务
ch11,ch11_src_160,needs_manual_textbook_anchor,manual_anchor_required,0.258201,1.2e-05,5603,5604,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,构建精细化交通认知体系，实现从宏观统计向微观行为刻画的转变。 车道级轨迹还原与“数字车流”构建：依托雷视融合技术实时映射车辆属性与空间位置，构建同步运行的“数字车流”。支持对频繁变道、违规占用应急车道等行为的监测，将研判粒度提升至车道级。
